cds14,ag_year,ag_cohort,ag_met_uccsu_count,ag_met_uccsu_rate
19647330111484,2016-17,43,14,93.3
19647330111492,2016-17,138,131,100.0
19647330111500,2016-17,104,103,100.0
19647330111575,2016-17,141,74,57.4
19647330111583,2016-17,142,85,64.4
19647330111625,2016-17,110,62,66.7
19647330111641,2016-17,125,121,99.2
19647330111658,2016-17,148,141,97.2
19647330112029,2016-17,101,58,71.6
19647330112037,2016-17,158,63,48.8
19647330112045,2016-17,335,247,80.7
19647330112052,2016-17,243,141,70.1
19647330112508,2016-17,119,107,100.0
19647330112870,2016-17,79,34,54.8
19647330114850,2016-17,334,127,53.6
19647330115030,2016-17,36,36,100.0
19647330115212,2016-17,38,32,91.4
19647330115253,2016-17,79,69,100.0
19647330116509,2016-17,52,48,100.0
19647330116954,2016-17,14,5,83.3
19647330117051,2016-17,295,120,53.8
19647330117069,2016-17,137,45,47.4
19647330117077,2016-17,75,33,67.3
19647330117598,2016-17,99,93,100.0
19647330117606,2016-17,135,129,99.2
19647330117622,2016-17,29,26,100.0
19647330117721,2016-17,94,46,65.7
19647330117747,2016-17,104,65,77.4
19647330117762,2016-17,108,45,60.8
19647330117911,2016-17,46,35,100.0
19647330118588,2016-17,398,132,58.4
19647330119651,2016-17,102,31,38.3
19647330119685,2016-17,92,62,80.5
19647330119693,2016-17,99,62,74.7
19647330119727,2016-17,381,249,71.1
19647330119966,2016-17,150,72,53.3
19647330120071,2016-17,48,24,100.0
19647330120360,2016-17,90,69,78.4
19647330120808,2016-17,42,0,0.0
19647330121095,2016-17,101,57,80.3
19647330121285,2016-17,108,108,100.0
19647330121293,2016-17,80,71,94.7
19647330122275,2016-17,52,29,64.4
19647330122333,2016-17,102,81,81.0
19647330122341,2016-17,138,76,58.9
19647330122358,2016-17,86,42,54.5
19647330122366,2016-17,82,44,63.8
19647330122374,2016-17,94,39,47.0
19647330122382,2016-17,97,44,54.3
19647330122606,2016-17,39,37,100.0
19647330123133,2016-17,127,111,97.4
19647330123141,2016-17,50,46,100.0
19647330124362,2016-17,254,153,65.4
19647330124370,2016-17,111,84,79.2
19647330124388,2016-17,131,113,90.4
19647330124396,2016-17,126,80,74.1
19647330124404,2016-17,79,33,52.4
19647330124412,2016-17,68,42,71.2
19647330124420,2016-17,91,52,67.5
19647330124479,2016-17,239,78,53.4
19647330124487,2016-17,95,54,71.1
19647330124495,2016-17,128,85,90.4
19647330124503,2016-17,81,40,62.5
19647330124511,2016-17,92,56,77.8
19647330124529,2016-17,166,77,52.0
19647330124560,2016-17,172,151,93.8
19647330124883,2016-17,122,50,58.8
19647330124891,2016-17,113,102,97.1
19647330124933,2016-17,100,95,96.9
19647330125864,2016-17,103,93,100.0
19647330125989,2016-17,127,88,73.9
19647330126136,2016-17,100,91,100.0
19647330126185,2016-17,65,0,0.0
19647330126474,2016-17,54,17,38.6
19647330126482,2016-17,132,65,61.9
19647330126490,2016-17,129,59,56.7
19647330126508,2016-17,125,54,54.5
19647330126516,2016-17,158,83,61.9
19647330126524,2016-17,151,100,70.4
19647330126532,2016-17,121,61,59.8
19647330126540,2016-17,116,82,75.2
19647330126557,2016-17,90,45,57.7
19647330126573,2016-17,139,61,53.0
19647330126615,2016-17,141,95,70.4
19647330126623,2016-17,121,71,67.6
19647330127787,2016-17,103,55,61.1
19647330127795,2016-17,110,70,83.3
19647330127803,2016-17,130,16,30.2
19647330127852,2016-17,39,31,100.0
19647330127894,2016-17,88,87,100.0
19647330127910,2016-17,116,108,100.0
19647330129536,2016-17,14,6,42.9
19647330129627,2016-17,22,14,82.4
19647330129775,2016-17,168,46,34.3
19647330130997,2016-17,72,50,74.6
19647330133272,2016-17,83,83,100.0
19647330133298,2016-17,50,46,93.9
19647331930064,2016-17,47,0,0.0
19647331930296,2016-17,112,1,4.0
19647331930387,2016-17,234,14,42.4
19647331930403,2016-17,32,6,66.7
19647331930429,2016-17,78,1,9.1
19647331930486,2016-17,30,0,0.0
19647331930551,2016-17,82,2,20.0
19647331930577,2016-17,41,2,25.0
19647331930619,2016-17,60,6,42.9
19647331930650,2016-17,343,145,49.7
19647331930692,2016-17,52,5,18.5
19647331930734,2016-17,51,4,28.6
19647331930783,2016-17,57,1,6.7
19647331930791,2016-17,23,0,0.0
19647331930866,2016-17,643,294,55.6
19647331930924,2016-17,222,102,67.5
19647331930940,2016-17,52,1,25.0
19647331930973,2016-17,78,2,12.5
19647331931047,2016-17,776,346,49.2
19647331931336,2016-17,59,3,14.3
19647331931377,2016-17,44,1,10.0
19647331931385,2016-17,38,0,0.0
19647331931393,2016-17,40,1,33.3
19647331931435,2016-17,56,1,16.7
19647331931450,2016-17,39,1,16.7
