campus,ceeb,cds14,school_name,city,county,applicants_2325,admits_2325,admit_rate_2325,ela_pct_met_avg,math_pct_met_avg,avg_pct_met,upp_pct_2425,lcff_plus,ag_cohort_2425,ag_met_2425,admits_per_eligible,match_method,match_score
Berkeley,050421,19646831931781,CALABASAS HIGH SCHOOL,Calabasas,Los Angeles,378,73,19.31,66.65,42.89,54.77,25.72,N,430,284,0.257,gardiner_seed,1.00
Berkeley,052480,30666473038023,VALENCIA HIGH SCHOOL,Placentia,Orange,378,53,14.02,70.15,47.07,58.61,68.93,N,639,353,0.1501,gardiner_seed,1.00
Berkeley,050666,07617540730044,NORTHGATE HIGH SCHOOL,Walnut Creek,Contra Costa,375,49,13.07,76.99,53.83,65.41,22.9,N,382,251,0.1952,gardiner_seed,1.00
Berkeley,052536,37682963730819,RANCHO BERNARDO HIGH SCHOOL,San Diego,San Diego,374,38,10.16,78.01,61.31,69.66,16.52,N,538,389,0.0977,gardiner_seed,1.00
Berkeley,051476,19647251935758,ROBERT A MILLIKAN HIGH SCHOOL,Long Beach,Los Angeles,373,75,20.11,62.74,33.46,48.1,36.56,N,842,600,0.125,gardiner_seed,1.00
Berkeley,051828,19647331939040,VENICE HIGH SCHOOL,Los Angeles,Los Angeles,372,80,21.51,64.96,30.71,47.83,64.98,N,540,395,0.2025,gardiner_seed,1.00
Berkeley,051335,37683383733508,LA JOLLA HIGH,La Jolla,San Diego,371,52,14.02,71.14,54.32,62.73,30.83,N,283,236,0.2203,gardiner_seed,1.00
Berkeley,052267,30666213030046,CANYON HIGH SCHOOL,Anaheim,Orange,370,33,8.92,77.4,48.0,62.7,32.25,N,524,380,0.0868,gardiner_seed,1.00
Berkeley,053801,19647331932623,EL CAMINO REAL CHARTER HIGH SC,Woodland Hills,Los Angeles,370,46,12.43,66.63,41.83,54.23,39.03,N,842,401,0.1147,gardiner_seed,1.00
Berkeley,050564,36676783631017,CHINO HILLS HIGH SCHOOL,Chino Hills,San Bernardino,366,56,15.3,67.83,45.32,56.58,52.84,N,753,481,0.1164,gardiner_seed,1.00
Berkeley,052618,19647331931864,CLEVELAND HIGH SCHOOL,Reseda,Los Angeles,363,67,18.46,63.13,33.97,48.55,71.86,N,627,402,0.1667,gardiner_seed,1.00
Berkeley,050006,56738745630132,OAK PARK HIGH SCHOOL,Oak Park,Ventura,359,51,14.21,90.86,74.53,82.7,13.62,N,326,278,0.1835,gardiner_seed,1.00
Berkeley,050815,07617960732941,EL CERRITO HIGH SCHOOL,El Cerrito,Contra Costa,359,77,21.45,55.01,30.49,42.75,44.04,N,397,210,0.3667,gardiner_seed,1.00
Berkeley,050579,37684113730843,EASTLAKE HIGH SCHOOL,Chula Vista,San Diego,358,47,13.13,81.36,46.72,64.04,26.98,N,683,499,0.0942,gardiner_seed,1.00
Berkeley,050725,07618040736504,SAN RAMON VALLEY HIGH SCHOOL,Danville,Contra Costa,355,62,17.46,76.44,46.72,61.58,6.78,N,457,307,0.202,gardiner_seed,1.00
Berkeley,052916,38684783830288,BALBOA HIGH SCHOOL,San Francisco,San Francisco,353,45,12.75,65.12,44.02,54.57,67.04,N,311,204,0.2206,gardiner_seed,1.00
Berkeley,053275,42767864235727,SANTA BARBARA SENIOR HIGH SCHO,Santa Barbara,Santa Barbara,352,63,17.9,41.59,20.09,30.84,63.25,N,531,293,0.215,gardiner_seed,1.00
Berkeley,052358,19648651996552,PALOS VERDES HIGH SCHOOL,Palos Verdes Estate,Los Angeles,350,69,19.71,80.44,59.91,70.18,10.31,N,338,289,0.2388,gardiner_seed,1.00
Berkeley,053880,33751920105734,GREAT OAK HIGH SCHOOL,Temecula,Riverside,350,52,14.86,78.17,47.65,62.91,25.49,N,729,608,0.0855,gardiner_seed,1.00
Berkeley,050526,19642121931880,GRETCHEN WHITNEY HIGH SCHOOL,Cerritos,Los Angeles,348,76,21.84,98.75,98.17,98.46,29.89,N,177,169,0.4497,gardiner_seed,1.00
Berkeley,053608,19651361995802,VALENCIA HIGH SCHOOL,Valencia,Los Angeles,348,54,15.52,86.74,54.05,70.39,14.65,N,537,138,0.3913,gardiner_seed,1.00
Berkeley,053806,19647331938612,WILLIAM HOWARD TAFT HS,Woodland Hills,Los Angeles,348,46,13.22,67.12,42.2,54.66,57.27,N,504,385,0.1195,gardiner_seed,1.00
Berkeley,052128,30665973031697,CORONA DEL MAR HIGH SCHOOL,Newport Beach,Orange,347,49,14.12,71.62,52.76,62.19,25.37,N,373,257,0.1907,gardiner_seed,1.00
Berkeley,053149,30664643030756,TESORO HIGH SCHOOL,Rancho San Margarit,Orange,346,40,11.56,85.78,60.25,73.01,24.26,N,546,393,0.1018,gardiner_seed,1.00
Berkeley,051106,31669283130184,GRANITE BAY HIGH SCHOOL,Granite Bay,Placer,345,66,19.13,78.68,60.82,69.75,25.98,N,479,309,0.2136,gardiner_seed,1.00
Berkeley,053106,43694274330023,SANTA TERESA HIGH SCHOOL,San Jose,Santa Clara,345,48,13.91,72.08,46.04,59.06,37.72,N,536,315,0.1524,gardiner_seed,1.00
Berkeley,051315,07616300730283,ACALANES HIGH SCHOOL,Lafayette,Contra Costa,344,60,17.44,84.21,66.34,75.27,8.84,N,319,256,0.2344,gardiner_seed,1.00
Berkeley,052475,07617880735407,PITTSBURG HIGH SCHOOL,Pittsburg,Contra Costa,343,50,14.58,34.52,12.51,23.51,82.25,Y,841,289,0.173,gardiner_seed,1.00
Berkeley,054166,34673300113571,VISTA DEL LAGO HIGH SCHOOL,Folsom,Sacramento,342,55,16.08,79.51,62.29,70.9,8.25,N,402,317,0.1735,gardiner_seed,1.00
Berkeley,050776,30664313030616,OXFORD ACADEMY,Cypress,Orange,340,46,13.53,98.65,93.08,95.86,51.77,N,206,200,0.23,gardiner_seed,1.00
Berkeley,050658,07100740731380,CLAYTON VALLEY CHARTER HIGH SCHOOL,Concord,Contra Costa,336,29,8.63,65.77,40.43,53.1,24.57,N,580,542,0.0535,gardiner_seed,1.00
Berkeley,050590,19643941931823,CLAREMONT HIGH SCHOOL,Claremont,Los Angeles,331,54,16.31,72.2,47.84,60.02,36.46,N,543,357,0.1513,gardiner_seed,1.00
Berkeley,052867,37683383732781,PATRICK HENRY HIGH SCHOOL,San Diego,San Diego,331,31,9.37,70.33,47.77,59.05,42.13,N,597,495,0.0626,gardiner_seed,1.00
Berkeley,050491,19647251995539,CALIFORNIA ACAD MATH & SCIENCE,Carson,Los Angeles,330,66,20.0,98.59,94.29,96.44,37.59,N,170,168,0.3929,gardiner_seed,1.00
Berkeley,053737,30665223033578,LA QUINTA HIGH SCHOOL,Westminster,Orange,329,26,7.9,81.45,67.15,74.3,77.66,Y,541,396,0.0657,gardiner_seed,1.00
Berkeley,054204,34673140116897,COSUMNES OAKS HIGH SCHOOL,Elk Grove,Sacramento,329,44,13.37,68.65,42.65,55.65,40.78,N,539,345,0.1275,gardiner_seed,1.00
Berkeley,051220,30665483032943,HUNTINGTON BEACH HIGH SCHOOL,Huntington Beach,Orange,326,44,13.5,70.27,47.68,58.97,34.33,N,705,477,0.0922,gardiner_seed,1.00
Berkeley,053522,19650601938356,SOUTH HIGH SCHOOL,Torrance,Los Angeles,325,43,13.23,74.82,63.1,68.96,27.28,N,460,331,0.1299,gardiner_seed,1.00
Berkeley,053120,01612910137588,SAN LEANDRO HIGH SCHOOL,San Leandro,Alameda,324,17,5.25,41.98,17.96,29.97,79.44,Y,589,268,0.0634,gardiner_seed,1.00
Berkeley,053165,41690474133070,HILLSDALE HIGH SCHOOL,San Mateo,San Mateo,324,58,17.9,68.09,39.58,53.84,29.34,N,403,274,0.2117,gardiner_seed,1.00
Berkeley,050386,07617210107797,HERITAGE HIGH SCHOOL,Brentwood,Contra Costa,318,19,5.97,72.96,42.08,57.52,21.75,N,590,364,0.0522,gardiner_seed,1.00
Berkeley,052723,34674473435930,MIRA LOMA HIGH SCHOOL,Sacramento,Sacramento,318,76,23.9,59.22,38.66,48.94,69.06,N,402,175,0.4343,gardiner_seed,1.00
Berkeley,051423,01612000133397,GRANADA HIGH SCHOOL,Livermore,Alameda,317,20,6.31,74.31,47.23,60.77,18.83,N,532,340,0.0588,gardiner_seed,1.00
Berkeley,052546,36676523630571,RANCHO CUCAMONGA HIGH SCHOOL,Rancho Cucamonga,San Bernardino,316,39,12.34,74.95,40.96,57.95,58.83,N,790,563,0.0693,gardiner_seed,1.00
